industry,code
CI005006.WI,603378.SH
CI005006.WI,603519.SH
CI005006.WI,603580.SH
CI005006.WI,603585.SH
CI005006.WI,603599.SH
CI005006.WI,603601.SH
CI005006.WI,603605.SH
CI005006.WI,603615.SH
CI005006.WI,603630.SH
CI005006.WI,603639.SH
CI005006.WI,603683.SH
CI005006.WI,603722.SH
CI005006.WI,603737.SH
CI005006.WI,603822.SH
CI005006.WI,603823.SH
CI005006.WI,603879.SH
CI005006.WI,603906.SH
CI005006.WI,603916.SH
CI005006.WI,603928.SH
CI005006.WI,603938.SH
CI005006.WI,603968.SH
CI005006.WI,603970.SH
CI005006.WI,603977.SH
CI005006.WI,603980.SH
CI005006.WI,603991.SH
CI005007.WI,000010.SZ
CI005007.WI,000018.SZ
CI005007.WI,000065.SZ
CI005007.WI,000090.SZ
CI005007.WI,000498.SZ
CI005007.WI,000628.SZ
CI005007.WI,000928.SZ
CI005007.WI,002047.SZ
CI005007.WI,002051.SZ
CI005007.WI,002060.SZ
CI005007.WI,002062.SZ
CI005007.WI,002081.SZ
CI005007.WI,002116.SZ
CI005007.WI,002135.SZ
CI005007.WI,002140.SZ
CI005007.WI,002178.SZ
CI005007.WI,002307.SZ
CI005007.WI,002310.SZ
CI005007.WI,002314.SZ
CI005007.WI,002325.SZ
CI005007.WI,002375.SZ
CI005007.WI,002398.SZ
CI005007.WI,002421.SZ
CI005007.WI,002431.SZ
CI005007.WI,002469.SZ
CI005007.WI,002482.SZ
CI005007.WI,002541.SZ
CI005007.WI,002542.SZ
CI005007.WI,002545.SZ
CI005007.WI,002586.SZ
CI005007.WI,002620.SZ
CI005007.WI,002628.SZ
CI005007.WI,002659.SZ
CI005007.WI,002663.SZ
CI005007.WI,002713.SZ
CI005007.WI,002717.SZ
CI005007.WI,002755.SZ
CI005007.WI,002775.SZ
CI005007.WI,002781.SZ
CI005007.WI,002789.SZ
CI005007.WI,002791.SZ
CI005007.WI,002811.SZ
CI005007.WI,002822.SZ
